,repair_cost-,repair_time-parallel,repair_time-sequential
1993,3042437.9757446973,586.9316487552297,1642.5674364103725
1994,3660116.5483415537,627.3766429872849,1771.9142401845188
1995,4408409.233653763,1216.1878636158326,2310.8684162289724
1996,2694647.8795736423,769.7862411917084,1838.3887506219774
1997,4318902.549146983,794.596414406318,1926.8144293104797
1998,4352230.099339798,1389.7091154571692,2710.6495150809933
1999,3391800.2056926857,846.791394873949,1932.2954551695916
2000,4728158.79511962,1344.391810359805,2681.930077895833
2001,12134893.355678355,0.0,0.0
2002,3565635.770511565,636.7964366340916,1699.8498599714726
2003,3100867.025601713,678.6607687723251,1820.2603004349178
2004,4512325.841502,966.7415023232754,2513.2061523361567
2005,2867576.6986791613,714.0358871039236,1346.7039979828576
2006,12916366.693324903,1687.399638298595,3664.359784685562
2007,3074919.6603359897,478.6279153717743,1301.8105523180095
2008,3006094.34278932,482.7362391644072,1351.3170010245417
2009,10887044.158026287,16185.930579862754,16185.930579862754
2010,10003515.302866664,1690.0554937889676,3581.367008879579
2011,11191322.195986327,0.0,0.0
2012,4387679.147672267,802.9943912302984,2552.8709389651312
2013,4127441.404073294,796.730921815413,2159.5576167259333
2014,3665176.164707847,1287.2911325434416,2390.2596811368
2015,4621566.054398074,1175.2133458040494,2882.973951392866
2016,4313489.654418394,822.8499458460872,2382.9483084186995
2017,4790341.963694577,1189.1121658212774,3140.187480355891
2018,3765635.1059402847,860.2472216126259,2491.6941141780308
2019,3995204.9725452773,1051.8782518396524,2237.863957619694
2020,4431022.172722561,1071.8673693180012,2426.4081654534557
2021,3281611.5141247055,942.5203825965946,2330.357277902312
2022,4167458.34887199,894.7878750938181,2360.886686321928
2023,10698571.601156147,0.0,0.0
2024,8998247.296915332,10978.741245964671,10978.741245964671
2025,3241042.1650742088,728.5260113093469,1646.490006019834
2026,2753857.2585215475,390.4371678048659,1181.7217355478585
2027,10705277.930117605,1819.4782680024769,3832.8324068574866
2028,3941344.8618681473,999.4154931903629,2370.9087755409723
2029,2787481.08899533,612.9736878019834,1352.609549885914
2030,3663233.4451970514,672.7145503231426,1814.7834304502624
2031,2606276.0962926634,369.7459624973354,1058.412334799752
2032,3905270.9963882887,820.4392769365877,2311.4900677242167
2033,4346467.908395107,929.172999436011,2449.2542163575167
2034,4203314.897412041,1224.3223100669238,2353.491865932209
2035,3044582.805265838,488.09036066157654,1345.3297086127393
2036,3375153.0822639405,832.9604761707052,2186.7021028374884
2037,9897419.139015006,1688.668880588781,3426.2084328497967
2038,3151722.4349406124,492.0211239247701,1374.3101690734547
2039,4116336.493857371,592.8900192734008,2161.490813335854
2040,3577319.3445966076,783.5263891394178,2025.6690097937894
2041,4847332.906065057,1352.8755408160926,2992.4226167565866
2042,4171313.609952146,956.9504302669982,2458.9846732004607
2043,9350023.951627864,2116.095536489251,4417.230328616523
2044,3171908.5630601477,683.8469138143082,1489.944738107621
2045,3320541.52184647,651.9481792568769,1729.0337902331996
2046,3748744.212750728,770.8954496465481,2007.9068590618583
2047,5045825.978519675,1346.085538729702,2818.419398503986
2048,3556389.3854168556,645.5843333980283,2084.7693792009254
2049,5006399.681630462,1218.2562463206627,3113.4571210807794
2050,3763120.6267184746,762.2288285560747,2252.7753715089093
2051,3160117.117071924,805.095786032188,1962.9241238017228
2052,2200834.670384556,282.7119368685146,807.1713273481635
2053,11458466.723293863,1211.690290944884,3298.0127185448846
2054,4022581.633533887,725.5553716993805,1890.3058195349367
2055,3158352.658290546,665.9839783385147,1896.0122516005063
2056,3200959.1864854875,580.7730994719727,1535.7563216427134
2057,3664627.009662064,821.1490550334811,1807.4799213317742
2058,4417192.002971901,980.4436769108495,2266.9115460197154
2059,10472858.208903788,0.0,0.0
2060,3153811.383149925,448.90168608487596,1417.703139041145
2061,10297441.995653065,0.0,0.0
2062,8581172.59382365,0.0,0.0
2063,4616441.094982591,1244.7342543584946,2909.907755928076
2064,5100390.757855992,1263.2525770693717,2567.286880716743
2065,3900369.9056652365,1096.6830400129488,2200.4371720707945
2066,4642695.162231219,1256.8678025145084,2748.7771403834245
2067,4401988.19326856,1295.2443993066752,3195.575384016831
2068,3441673.623040769,641.6485621733782,1570.130329373649
2069,3398704.652985416,596.452703870181,1736.831220103341
2070,12213412.735476766,0.0,0.0
2071,3115868.059602823,345.34146033293325,1382.3346220338265
2072,5202475.8517228635,1274.8285900724197,2979.802827200171
2073,5038683.517955475,1566.0934534048183,3418.842298261073
2074,3984773.027251031,1078.2374741520484,2474.9190939718183
2075,4265370.5229659,1038.794393655187,2625.3763422421084
2076,4002649.2280775667,902.3421169898336,2404.88163902612
2077,4594659.580469544,913.5404344679487,2506.842853988121
2078,11405226.230434805,1475.5554269485465,3500.801599109486
2079,3991207.7493304163,762.2503216492041,2306.5927015535003
2080,9159765.28644911,871.1685291532494,2671.1916482320476
2081,3062635.792729215,518.0097343507002,1523.9309280216348
2082,4754282.536782494,1324.8163185394023,3066.7247035948612
2083,12726206.017271683,0.0,0.0
2084,2253600.9844444273,280.55463865723584,695.7786730897172
2085,4862886.858871877,1063.1813662863683,2588.9089353760414
2086,2450228.2989084586,633.7675399642137,1385.9355915542924
2087,4737851.358806564,1254.6567012035703,2494.283631962161
2088,4454702.876591299,897.1147667644244,2445.2444696116486
2089,4782329.141785247,1145.6230481839677,2903.712721177917
2090,3435744.5714626755,755.6262281862414,1995.5969259127319
2091,4582014.806942045,836.1564344773061,2379.6650046182117
2092,2246953.009579881,433.65001839947047,1108.5521254505404
2093,4807452.796316621,1259.2762701126603,2649.5068866690003
2094,9518815.118263636,1592.0939438995217,3379.446508273855
2095,4115594.4866734194,791.172047417477,2415.841879642083
2096,3745600.297895279,786.7691729484301,1953.5879853695913
2097,3094392.3455440504,735.4215657004921,1603.1760465277634
2098,5209960.091660202,1218.0675331201758,3097.9020544870077
2099,4217456.993049995,1325.701281765191,2740.037159724864
2100,4761818.063723611,1398.1595715826038,2711.5041948442895
2101,3456449.0479843887,797.2905569191971,2245.49906930125
2102,3705388.11891058,718.5272930961663,2113.070944603593
2103,3297819.327143997,767.5511996516781,2023.1319775094905
2104,2966102.246041571,626.3249335630591,1660.1214225536783
2105,4501363.087057592,1534.4763708140053,2675.393282784642
2106,9568692.896770114,12477.607346211556,12477.607346211556
2107,9638104.096309984,1072.6004296798078,3231.8046213238163
2108,3217016.995138742,652.4230833929112,1628.0898865518586
